id;id_product;id_loja;cod_prod;titulo;estoque_qtd;
2670;NULL;3;3348901016285;NAO CADASTRADO;0;
2671;NULL;3;3349668509669;NAO CADASTRADO;0;
2672;NULL;3;3352818517001;NAO CADASTRADO;0;
2673;NULL;3;3423470317534;NAO CADASTRADO;0;
2674;NULL;3;3423470396010;NAO CADASTRADO;0;
2675;NULL;3;3474636483938;NAO CADASTRADO;0;
2676;NULL;3;3494800028680;NAO CADASTRADO;1;
2677;NULL;3;3507342592759;NAO CADASTRADO;0;
2678;NULL;3;7798779811690;NAO CADASTRADO;0;
2679;NULL;3;8011003072101;NAO CADASTRADO;0;
2680;NULL;3;8011003078325;NAO CADASTRADO;0;
2681;NULL;3;8411061749920;NAO CADASTRADO;0;
2682;NULL;3;3423470890013;NARCISO RODRIGUES 50ML;0;
2683;NULL;3;3423470883015;NARCISO RODRIGUES ESSENCE F 50ML;0;
2684;NULL;3;3423470890129;NARCISO RODRIGUES F 100ML;0;
2685;NULL;3;3423470880021;NARCISO RODRIGUES H 50ML;0;
2686;NULL;3;688575005035;NARCISSE CHLOE 100ML;0;
2687;NULL;3;688575005028;NARCISSE CHLOE 50ML;0;
2688;NULL;3;8715658998686;NATURES SEXY 100ML;0;
2689;NULL;3;8009350604946;NAZARENO GABRIELLI F 100ML;0;
2690;NULL;3;8009350600702;NAZARENO GABRIELLI HOM. 100 ML;0;
2691;NULL;3;5060053110779;NEON H 100ML;0;
2692;NULL;3;5425017730712;NEW BRAND 100ML F / H;4;
2693;NULL;3;5060053114791;NIGHT CLUB H 100ML;0;
2694;NULL;3;7898947943862;NIGHT SPA SERUM;0;
2695;NULL;3;6291100179008;NIKITA F 100ML;0;
2696;NULL;3;3137370180326;NINA 30ML;2;
2697;NULL;3;3137370180333;NINA 50ML;0;
2698;NULL;3;3137370180760;NINA 80ML;1;
2699;NULL;3;3137370348481;NINA BELLA EDT 80ML;1;
2700;NULL;3;3137370304395;NINA ELIXIR 50ML;0;
2701;NULL;3;3137370304401;NINA ELIXIR 80ML;0;
2702;NULL;3;3137370304388;NINA L ELIXIR EDP 30ML;0;
2703;NULL;3;3137370315391;NINA LA TENTATION 50ML;0;
2704;NULL;3;3137370312789;NINA LEAU F 50ML;0;
2705;NULL;3;3137370312772;NINA LEAU F 80ML;0;
2706;NULL;3;3137370318545;NINA LES DELICES 50ML;0;
2707;NULL;3;3137370348436;NINA LUNA EDT 80ML;0;
2708;NULL;3;3137370341451;NINA LUNA MONST;0;
2709;NULL;3;3137370348511;NINA NINA EDT 80ML;1;
2710;NULL;3;3360373016358;NOA 100 ML;0;
2711;NULL;3;3360373016334;NOA 30 ML;0;
2712;NULL;3;3360373016341;NOA 50ML;0;
2713;NULL;3;3360373033010;NOA EAU DE PARFUM 40ML;0;
2714;NULL;3;3360373033027;NOA EAU PARFUM FEM. 60 ML;0;
2715;NULL;3;8435001526068;NOSTRUM H 100ML;0;
2716;NULL;3;3454090001558;NUMBER ONE 100ML;0;
2717;NULL;3;3147758219579;O DE LANC.30ML;0;
2718;NULL;3;3147758155358;O DE LANCOME 100ML;0;
2719;NULL;3;88300103409;OBSESSION F 100ML;0;
2720;NULL;3;88300103300;OBSESSION F 50ML;0;
2721;NULL;3;88300106516;OBSESSION H 125ML;0;
2722;NULL;3;88300106509;OBSESSION H 75ML;0;
2723;NULL;3;88300081165;OBSESSION SHEER 50 ML;0;
2724;NULL;3;3614272907805;OCEAN DI GIOIA EDP 50ML;1;
2725;NULL;3;7898925598060;OCEANE ESPONJA;0;
2726;NULL;3;7898930771854;OCEANE PALETA 12 SHADES;0;
2727;NULL;3;7898925598039;OCEANE PINCEL MS10;1;
2728;NULL;3;7898925598046;OCEANE PINCEL MS11;3;
2729;NULL;3;7898925598053;OCEANE PINCEL MS12;0;
2730;NULL;3;7898576397586;OCEANE PINCEL MS2;0;
2731;NULL;3;7898576397593;OCEANE PINCEL MS3;3;
2732;NULL;3;7898576397609;OCEANE PINCEL MS4;2;
2733;NULL;3;7898576397623;OCEANE PINCEL MS6;1;
2734;NULL;3;7898576397630;OCEANE PINCEL MS7;2;
2735;NULL;3;7898925598015;OCEANE PINCEL MS8;3;
2736;NULL;3;7898930769530;OCEANE SHADES 9;0;
2737;NULL;3;10;OLEO KERASTASE FUSIO;0;
2738;NULL;3;7899026461338;OLEO NUTRI MYSTHIC OIL 125ML;0;
2739;NULL;3;3474635001577;OLEO RELAX KERASTASE 125ML;0;
2740;NULL;3;3349668537273;OLYMPEA AQUA F 50ML;0;
2741;NULL;3;3349668562824;OLYMPEA AQUA LEGERE  80ML;2;
2742;NULL;3;3349668563265;OLYMPEA AQUA LEGERE 30ML;0;
2743;NULL;3;3349668563227;OLYMPEA AQUA LEGERE 50ML;2;
2744;NULL;3;3349668588688;OLYMPEA BLOSSOM 50ML;0;
2745;NULL;3;3349668588718;OLYMPEA BLOSSOM EDP 80ML;1;
2746;NULL;3;3349668528653;OLYMPEA EDP 30ML;0;
2747;NULL;3;3349668528660;OLYMPEA EDP 50ML;2;
2748;NULL;3;3349668528677;OLYMPEA EDP 80ML;1;
2749;NULL;3;3349668543144;OLYMPEA INTENSE 30ML EDP;0;
2750;NULL;3;3349668543113;OLYMPEA INTENSE 50ML EDP;0;
2751;NULL;3;3349668543083;OLYMPEA INTENSE 80ML EDP;0;
2752;NULL;3;3349668577569;OLYMPEA LEGEND EDP 30ML;2;
2753;NULL;3;3349668577644;OLYMPEA LEGEND EDP 50ML;1;
2754;NULL;3;3349668577521;OLYMPEA LEGEND EDP 80ML;0;
2755;NULL;3;8715658999416;OMERTA EXPECTING TO FLY;0;
2756;NULL;3;8715658998488;OMERTA FREE MYSTERIOUS;0;
2757;NULL;3;8715658998969;OMERTA FREE MYSTERIOUS EDP;0;
2758;NULL;3;8715658999034;OMERTA STANDIN 100ML;0;
2759;NULL;3;783320442506;OMINIA CORAL 65ML;0;
2760;NULL;3;783320922121;OMINIA CRYSTALLINE 40ML;0;
2761;NULL;3;783320892110;OMINIA EDP 40ML;0;
2762;NULL;3;783320892516;OMNIA F 65ML;0;
2763;NULL;3;783320962516;OMNIA GREEN JADE 65ML;0;
2764;NULL;3;3355991000223;ONE MAN SHOW 100 ML;0;
2765;NULL;3;390;ONE MAN SHOW 30ML;0;
2766;NULL;3;3442151008394;ONLY ME PASSION F 100ML;0;
2767;NULL;3;3608940512316;OP BLEND 50ML;0;
2768;NULL;3;3608940512415;OP BLEND F 30ML;0;
2769;NULL;3;3608940512491;OP BLEND M 30ML;0;
2770;NULL;3;3608940512378;OP BLEND M 50ML;0;
2771;NULL;3;3608940508173;OP JUICE F 30ML;0;
2772;NULL;3;3608940508180;OP JUICE F 50ML;0;
2773;NULL;3;3608940506728;OP JUICE M 30ML;0;
2774;NULL;3;3608940506735;OP JUICE M 50ML.;0;
2775;NULL;3;3365440003057;OPIUM F 100ML;0;
2776;NULL;3;3365440003026;OPIUM F 30ML;0;
2777;NULL;3;3365440003033;OPIUM F 50ML;0;
2778;NULL;3;3365440556386;OPIUM F 90ML;0;
2779;NULL;3;3365440003606;OPIUM F DEO 100ML;0;
2780;NULL;3;3365440229495;OPIUM F D'ETE 100ML;0;
2781;NULL;3;3365440025578;OPIUM H 100ML;0;
2782;NULL;3;3365440025554;OPIUM HOM. 30 ML;0;
2783;NULL;3;3274870212369;ORGANZA 100ML;0;
2784;NULL;3;3274870212307;ORGANZA 30ML;0;
2785;NULL;3;3274870212352;ORGANZA 50ML;0;
2786;NULL;3;3331845765319;OSEZMOI EDP 100 ML;0;
2787;NULL;3;3147758011630;OUI DE LANC.30ML;0;
2788;NULL;3;3147758011623;OUI LANC.75ML;0;
2789;NULL;3;7899516208818;OVO CESTA DE PASCOA 180G;0;
2790;NULL;3;7899516205893;OVO CH. AO LEITE 550G;0;
2791;NULL;3;7899516206227;OVO CH. BRANCO COOKIES 320G;0;
2792;NULL;3;7899516205909;OVO CH. MEIO AMARGO 320G;0;
2793;NULL;3;7899516208436;OVO CH. ZERO 110G;0;
2794;NULL;3;7899516207804;OVO CH.AMARGO 110G;0;
2795;NULL;3;7899516200010;OVO CH.AO LEITE 110G;0;
2796;NULL;3;7899516205725;OVO CH.AO LEITE 320G;0;
