26/11/21;Estoque Fisico;por Produto;Fl   1
P r o d u t o;Descricao;Qtde;
;;;
3351500013586;AZZARO MADEMOISELLE LEAU TRES 30ML;0;
3351500004713;AZZARO MADEMOSELLE LEAU CHARMANTE 30ML;0;
3351500999033;AZZARO NIGHT TIME H 100ML;0;
3351500999026;AZZARO NIGHT TIME H 50ML;0;
3351500953004;AZZARO NOW F 30ML;0;
3351500953011;AZZARO NOW F 50ML;0;
3351500953028;AZZARO NOW F 80ML;0;
3351500952700;AZZARO NOW H 30ML;0;
3351500952717;AZZARO NOW H 50ML;0;
3351500952724;AZZARO NOW H 80ML;0;
3351500972012;AZZARO POUR ELLE F 30ML;0;
3351500972029;AZZARO POUR ELLE F 50ML;0;
3351500972036;AZZARO POUR ELLE F 75ML;0;
3351500975013;AZZARO SILVER 100ML;0;
3351500975280;AZZARO SILVER 30ML;0;
--------------;-----------------------------------------------------;------------------------------------------;---------------------------
26/11/21;Estoque Fisico;por Produto;Fl   9
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
Loja:  03  BIAN;CA NUNES CHIAH-ME;;
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
P r o d u t o;Descricao;Qtde;
;;;
3351500975020;AZZARO SILVER 50ML;0;
3351500002122;AZZARO SOLARISSIMO 75ML;0;
3351500017997;AZZARO SPORT H 100ML;5;
3351500956623;AZZARO TWIN F 80ML;0;
3351500956517;AZZARO TWIN H 50ML;0;
3351500956524;AZZARO TWIN H 80ML;0;
3351500950003;AZZARO VISIT 30ML;0;
3351500956340;AZZARO VISIT F 30ML;0;
3351500956012;AZZARO VISIT F 50ML;0;
3351500956029;AZZARO VISIT F 75ML;0;
3351500950010;AZZARO VISIT H 50ML;0;
3351500002702;AZZARO WANTED 100ML;0;
3351500002696;AZZARO WANTED EDT 50ML;0;
3351500013807;AZZARO WANTED GIRL 50ML;0;
3351500013814;AZZRO WANTED GIRL 80ML;1;
3351500914081;AZZURA 30ML;0;
3351500914074;AZZURA 50ML;0;
3365440087040;BABY DOLL 100 ML;0;
3365440094994;BABY DOLL 30 ML;0;
3365440087026;BABY DOLL 50 ML;0;
085715431998;BANANA REPUBLIC OF NEM 100 ML;0;
085715429964;BANANA REPUBLIC OF WOMEN 100 ML;0;
7897186072265;BARBIE 100ML;0;
097298013010;BARE LIFTS;0;
1523;BATA CINTIA PLUS SIZE VETTO;2;
